Time,Energy_Consumption_kWh,Server_Load_percent,Ambient_Temperature_C,Cooling_Efficiency_percent,Hour,Day_of_Week,Month,Season
2023-01-01 00:00:00,374.9080237694725,84.90808570098726,20.22159514606344,82.97704462840545,0,6,1,Winter
2023-01-01 01:00:00,490.1428612819832,76.80481831720601,24.5028113685403,81.97954694074328,1,6,1,Winter
2023-01-01 02:00:00,446.398788362281,65.47638081431639,28.4753500305169,70.64105164516089,2,6,1,Winter
2023-01-01 03:00:00,419.7316968394073,90.68975098534744,26.786698636914736,78.5311956906539,3,6,1,Winter
2023-01-01 04:00:00,331.2037280884873,84.23655862769397,27.678733774337395,79.50489046964643,4,6,1,Winter
2023-01-01 05:00:00,331.1989040672405,58.130846967244565,25.90540040052861,79.97056952242251,5,6,1,Winter
2023-01-01 06:00:00,311.6167224336399,95.54635922469213,26.30731877421423,84.5043092306833,6,6,1,Winter
2023-01-01 07:00:00,473.235229154987,91.12686214615846,28.19034781878383,83.34006366817196,7,6,1,Winter
2023-01-01 08:00:00,420.2230023486418,97.4899956645962,20.996016106310236,85.19762731983612,8,6,1,Winter
2023-01-01 09:00:00,441.6145155592091,86.28597541941801,23.873099563717687,89.1220815385532,9,6,1,Winter
2023-01-01 10:00:00,304.1168988591605,80.6707597967895,20.654513301835227,90.32464346790232,10,6,1,Winter
2023-01-01 11:00:00,493.9819704323989,70.91215181453094,29.85201609595976,87.95307690566236,11,6,1,Winter
2023-01-01 12:00:00,466.48852816008434,96.63642416770064,29.32871207623936,93.88809239887335,12,6,1,Winter
2023-01-01 13:00:00,342.46782213565524,93.30319447502042,18.473121736422076,70.45581456690904,13,6,1,Winter
2023-01-01 14:00:00,336.3649934414201,52.26093350530947,26.46690207018826,74.89444964208866,14,6,1,Winter
2023-01-01 15:00:00,336.6809019706868,51.3183487248626,29.10297980898799,70.18907187445355,15,6,1,Winter
2023-01-01 16:00:00,360.8484485919075,68.82316834390248,20.166904141528,86.18686785386507,16,6,1,Winter
2023-01-01 17:00:00,404.9512863264476,90.52766653909164,24.815342766631552,92.45076372374967,17,6,1,Winter
2023-01-01 18:00:00,386.3890037284232,99.36380646574722,28.9858595710565,76.08705741440748,18,6,1,Winter
2023-01-01 19:00:00,358.2458280396084,57.52084455517641,18.407351743029587,93.17586361990766,19,6,1,Winter
2023-01-01 20:00:00,422.3705789444759,79.70653576760675,26.36904320696208,71.50668475723901,20,6,1,Winter
2023-01-01 21:00:00,327.8987721304084,69.04454283155107,21.56818808847061,93.36090067013784,21,6,1,Winter
2023-01-01 22:00:00,358.4289297070436,98.49571989073016,29.092754344518365,78.79056718099086,22,6,1,Winter
2023-01-01 23:00:00,373.2723686587384,92.10594615678544,29.65269894198441,72.53552071123042,23,6,1,Winter
2023-01-02 00:00:00,391.2139968434072,91.91643523555688,29.331197869361205,82.14679397965814,0,0,1,Winter
2023-01-02 01:00:00,457.0351922786027,73.43465798974852,23.690570599889565,76.4194141930127,1,0,1,Winter
2023-01-02 02:00:00,339.934756431672,70.74097511688326,28.34451181187176,77.12182254904808,2,0,1,Winter
2023-01-02 03:00:00,402.8468876827224,63.670353596535314,28.13459278242085,77.68224912315716,3,0,1,Winter
2023-01-02 04:00:00,418.4829137724085,52.81877483254635,21.829205678919067,90.0756474458166,4,0,1,Winter
2023-01-02 05:00:00,309.2900825439996,93.23611881275266,27.94698568980813,83.47903191688137,5,0,1,Winter
